"[1541, 805]","[1552, 805]","[1552, 815]","[1541, 815]"
"[936, 812]","[946, 812]","[946, 822]","[936, 822]"
"[805, 744]","[819, 744]","[819, 805]","[805, 805]"
"[806, 805]","[818, 805]","[818, 805]","[806, 805]"
"[1041, 805]","[1055, 805]","[1055, 807]","[1041, 807]"
"[813, 811]","[935, 811]","[935, 835]","[813, 835]"
"[801, 817]","[813, 817]","[813, 829]","[801, 829]"
"[1864, 818]","[1874, 818]","[1874, 828]","[1864, 828]"
"[935, 802]","[1864, 802]","[1864, 844]","[935, 844]"
"[1767, 500]","[1769, 500]","[1769, 510]","[1767, 510]"
"[808, 723]","[816, 723]","[816, 724]","[808, 724]"
"[806, 724]","[818, 724]","[818, 744]","[806, 744]"
"[1762, 381]","[1774, 381]","[1774, 500]","[1762, 500]"
"[1377, 535]","[1387, 535]","[1387, 537]","[1377, 537]"
